Category_item,Weight_kg,Volumetric_Weight_kg,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg_item,Material_ID,Material_Name,Category_material,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg_material,Biodegradable,co2_impact_index,cost_efficiency_index,environmental_impact_score,material_suitability_score,sustainability_score,sustainability_rating,Item_Volume_m3
Electronics,0.18,0.0,4,True,Road,560,Corrugated Cardboard,0.87,0.05,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,97.43,0.5,1.32,3.99,0.4545451101930983,D,2e-05
Home Decor,1.83,1.3,9,False,Air,1975,Mushroom Pkg (Mycelium),2.53,9.036,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,45.3,28.31,19.79,3.08,1.716624471115489,B,0.006496
Electronics,0.26,0.02,8,True,Air,2350,Mushroom Pkg (Mycelium),1.7,1.527,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,78.27,4.77,7.86,4.15,0.7282441821572286,D,9e-05
Clothing,1.74,3.68,3,True,Road,88,Kraft Paper Mailer,2.07,0.162,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,83.59,10.6,8.8,39.39,1.4454543811983656,C,0.0184
Furniture,18.46,6.27,9,False,Road,418,Mushroom Pkg (Mycelium),9.18,3.858,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,67.49,79.93,11.76,3.08,8.156121755431824,A,0.03136
Furniture,12.99,5.36,9,False,Road,2150,Mushroom Pkg (Mycelium),7.0,13.964,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,55.67,73.71,16.04,3.08,5.514463496604519,A,0.026784
Furniture,68.94,336.52,5,False,Road,2073,Wood Crate,135.61,348.803,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,7.35,29.37,45.42,13.44,0.7759577107891301,D,1.68259
Furniture,16.31,5.08,9,False,Road,1547,Mushroom Pkg (Mycelium),8.32,12.616,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,56.37,77.9,15.79,3.08,5.92020228497769,A,0.025376
Furniture,17.28,6.42,10,False,Road,1492,Mushroom Pkg (Mycelium),8.91,12.891,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,55.94,85.7,15.94,2.79,6.451693447196145,A,0.0321
Furniture,10.45,37.79,5,False,Road,2866,Wood Crate,16.12,54.153,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,36.53,27.71,31.12,13.44,1.068508963094185,C,0.188955
Beauty,0.94,0.22,3,True,Air,2761,PLA Bioplastic,0.98,6.488,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,47.93,13.34,29.64,49.94,0.5400809534385643,D,0.00112
Electronics,0.39,0.02,6,True,Road,493,Honeycomb Paper,1.36,0.096,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,95.47,3.99,2.13,15.9,2.247886268597996,B,8.4e-05
Electronics,1.96,0.11,7,True,Road,601,Honeycomb Paper,2.18,0.589,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,83.01,16.4,8.0,13.9,2.459999692500038,B,0.00056
Furniture,48.2,265.73,6,False,Road,525,Wood Crate,107.49,69.754,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,30.6,35.24,34.02,11.5,1.2430334731618615,C,1.328635
Electronics,0.33,0.02,7,True,Air,1259,Honeycomb Paper,1.53,1.039,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,81.07,3.42,8.92,13.9,0.4600896345190992,D,8.4e-05
Beauty,0.79,0.24,4,True,Road,183,PLA Bioplastic,1.12,0.072,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,85.72,13.06,8.13,39.92,1.9276750396463664,B,0.001176
Furniture,75.02,339.39,7,False,Road,1410,Wood Crate,137.16,239.27,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,12.79,41.27,42.75,10.05,1.1584561132524889,C,1.69694
Beauty,0.82,0.23,4,True,Road,596,PLA Bioplastic,1.13,0.244,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,84.38,13.46,8.89,39.92,1.816872686516008,B,0.001152
Beauty,0.25,0.05,10,True,Air,1378,Mushroom Pkg (Mycelium),2.1,0.861,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,85.38,4.62,5.29,3.37,1.0480149247608836,C,0.00025
Furniture,12.25,29.64,4,False,Road,1008,Wood Crate,12.66,14.939,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,53.79,22.0,22.65,16.15,1.1655628624475556,C,0.148176
Electronics,0.12,0.0,6,True,Air,1988,Honeycomb Paper,1.25,0.596,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,88.29,0.88,5.52,15.9,0.1913043131695085,E,1.6e-05
Furniture,72.75,297.01,8,False,Road,1579,Wood Crate,120.4,234.489,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,13.12,47.12,42.59,8.92,1.3276355640376716,C,1.485054
Electronics,0.34,0.0,7,True,Air,2809,Honeycomb Paper,1.54,2.388,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,70.05,3.51,14.11,13.9,0.2985116726781238,E,0.0
Electronics,0.26,0.0,8,True,Air,1760,Corrugated Cardboard,1.7,1.144,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,79.94,1.07,10.31,2.16,0.1245392701707788,E,0.0
Clothing,1.14,1.08,4,False,Air,2449,Kraft Paper Mailer,1.26,6.98,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,48.25,6.97,27.76,31.48,0.3012968191175497,E,0.0054
Beauty,0.97,0.22,4,True,Road,291,PLA Bioplastic,1.19,0.141,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,83.38,15.2,9.46,39.92,1.9281181894166812,B,0.00112
Beauty,0.25,0.04,10,True,Air,1536,PLA Bioplastic,2.1,0.96,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,79.58,5.12,11.62,18.08,0.5287435001081325,D,0.000225
Electronics,2.15,0.13,7,True,Road,702,Honeycomb Paper,2.26,0.755,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,81.49,17.39,8.72,13.9,2.3931189916147946,B,0.000651
Beauty,0.37,0.04,9,True,Air,2077,Mushroom Pkg (Mycelium),1.95,1.921,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,74.74,6.92,9.14,3.72,0.908533817447066,C,0.00018
Electronics,17.27,7.16,9,True,Road,1184,Mushroom Pkg (Mycelium),8.71,10.224,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,58.64,78.8,14.97,3.72,6.316632844580304,A,0.035784
Electronics,16.5,5.98,9,True,Road,787,Mushroom Pkg (Mycelium),8.4,6.493,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,63.6,78.06,13.17,3.72,7.112527933748829,A,0.02992
Electronics,1.91,0.26,8,True,Air,1967,Mushroom Pkg (Mycelium),2.36,9.392,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,44.47,28.16,20.09,4.15,1.6820307774001604,B,0.001302
Beauty,0.75,0.24,5,True,Air,2732,PLA Bioplastic,1.3,5.122,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,52.8,13.37,26.86,33.25,0.5973194118645043,D,0.001216
Furniture,54.23,262.63,8,False,Road,692,Wood Crate,106.65,90.87,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,26.83,47.03,35.87,8.92,1.5733481579774695,B,1.31313
Beauty,0.72,0.24,3,True,Air,1471,PLA Bioplastic,0.89,2.648,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,62.47,11.14,21.36,49.94,0.6258426673294631,D,0.001176
Beauty,0.5,0.04,9,True,Road,59,Mushroom Pkg (Mycelium),2.0,0.015,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,99.07,9.34,0.34,3.72,32.9646089276208,A,0.00018
Electronics,0.35,0.0,7,True,Air,1586,Honeycomb Paper,1.54,1.388,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,77.58,3.64,10.56,13.9,0.4136363244662571,D,0.0
Furniture,65.42,313.04,8,False,Road,2919,Wood Crate,126.82,456.882,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,3.34,47.15,47.39,8.92,1.193922743323006,C,1.5652
Furniture,11.86,36.46,6,False,Road,2255,Wood Crate,15.78,41.109,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,40.39,32.89,29.22,11.5,1.350718639605796,C,0.18228
Clothing,0.97,1.27,3,False,Road,128,Kraft Paper Mailer,1.11,0.081,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,89.12,6.58,5.84,39.39,1.3520545630043554,C,0.006336
Clothing,0.16,0.1,1,False,Air,1530,Kraft Paper Mailer,0.26,0.612,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.05,0.62,6.95,78.9,0.1070503443093029,E,0.00052
Electronics,1.99,0.25,9,True,Air,2969,Mushroom Pkg (Mycelium),2.6,14.771,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,34.84,30.0,23.58,3.72,1.5267174925056195,B,0.00126
Home Decor,2.04,1.16,9,False,Air,1143,Mushroom Pkg (Mycelium),2.62,5.829,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,53.94,30.53,16.67,3.08,2.197720324071966,B,0.005824
Clothing,0.88,1.25,5,False,Air,2134,Kraft Paper Mailer,1.5,6.669,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,49.8,8.13,26.93,26.22,0.3622725450325828,E,0.006264
Beauty,0.85,0.24,3,True,Air,1439,Corrugated Cardboard,0.94,3.058,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,63.08,3.21,18.97,5.02,0.2030574484418846,E,0.001176
Electronics,22.44,6.34,10,True,Road,492,Mushroom Pkg (Mycelium),10.98,5.52,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,63.46,90.35,13.22,3.37,8.20120966707945,A,0.03168
Beauty,0.82,0.24,5,True,Air,1979,PLA Bioplastic,1.33,4.057,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,55.92,14.34,25.09,33.25,0.6858509092925106,D,0.001176
Beauty,0.77,0.23,3,True,Road,284,PLA Bioplastic,0.91,0.109,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,85.73,11.68,8.12,49.94,1.72610816180934,B,0.001152
Electronics,0.1,0.0,4,True,Road,413,Corrugated Cardboard,0.84,0.021,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,98.88,0.0,0.58,3.99,0.0,E,0.0
Electronics,0.14,0.0,4,True,Air,2870,Corrugated Cardboard,0.86,1.005,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,82.62,0.25,8.93,3.99,0.0335946210980267,E,2e-05
Electronics,0.38,0.0,8,True,Air,2996,Mushroom Pkg (Mycelium),1.75,2.846,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,68.35,7.06,11.45,4.15,0.7399125991342709,D,0.0
Furniture,19.49,4.4,9,False,Road,837,Mushroom Pkg (Mycelium),9.6,8.157,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,60.59,80.71,14.26,3.08,6.791864881355898,A,0.022
Furniture,12.86,31.92,5,False,Road,875,Wood Crate,13.77,13.965,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,54.44,27.39,22.34,13.44,1.4712622439005263,B,0.1596
Beauty,0.27,0.04,8,True,Road,657,Mushroom Pkg (Mycelium),1.71,0.089,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,98.61,4.94,0.5,4.15,11.855976288047424,A,0.00018
Electronics,1.92,0.24,7,True,Road,476,Honeycomb Paper,2.17,0.457,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,83.87,16.13,7.6,13.9,2.5468417701523984,B,0.001216
Electronics,22.31,7.63,9,True,Road,1713,Mushroom Pkg (Mycelium),10.72,19.109,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,50.42,82.75,17.94,3.72,5.535116748321252,A,0.03815
Electronics,0.32,0.0,6,True,Air,1097,Honeycomb Paper,1.33,0.878,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,82.89,3.24,8.06,15.9,0.4823820741461446,D,0.0
Home Decor,1.9,1.05,10,False,Air,2243,Mushroom Pkg (Mycelium),2.76,10.654,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,41.84,29.98,21.04,2.79,1.7098858502905965,B,0.005265
Furniture,51.41,288.79,7,False,Road,2712,Wood Crate,116.92,391.599,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,5.82,41.19,46.17,10.05,1.070565278956784,C,1.44396
Furniture,17.19,6.53,10,False,Road,2798,Mushroom Pkg (Mycelium),8.88,24.049,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,47.99,85.54,18.82,2.79,5.454197372253063,A,0.032635
Electronics,0.26,0.02,7,True,Road,251,Honeycomb Paper,1.5,0.033,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,97.41,2.61,1.22,13.9,2.5672110104827786,B,9e-05
Furniture,14.59,37.31,5,False,Road,300,Wood Crate,15.92,5.596,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,63.06,27.7,18.11,13.44,1.835449926258977,B,0.18656
Clothing,0.87,1.25,5,False,Air,2951,Kraft Paper Mailer,1.5,9.222,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,43.65,8.13,30.23,26.22,0.3227257584278611,E,0.00627
Electronics,2.24,0.12,9,True,Air,1836,Mushroom Pkg (Mycelium),2.7,10.282,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,42.46,32.58,20.82,3.72,1.877809708078304,B,0.000608
Furniture,56.9,326.59,6,False,Road,1820,Wood Crate,131.84,297.197,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,9.89,35.32,44.18,11.5,0.9593480996073316,C,1.63296
Electronics,0.18,0.0,5,True,Air,2466,Honeycomb Paper,1.07,1.11,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,81.51,1.6,8.71,18.57,0.2204362548293622,E,0.0
Electronics,2.45,0.22,8,True,Air,1500,Mushroom Pkg (Mycelium),2.58,9.188,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,44.71,33.16,20.01,4.15,1.988605597770834,B,0.00112
Clothing,0.25,0.22,1,False,Air,1417,Kraft Paper Mailer,0.3,0.886,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,82.61,1.08,9.33,78.9,0.1389067375233936,E,0.00108
Clothing,0.22,0.08,1,False,Air,2900,Kraft Paper Mailer,0.29,1.595,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,76.11,0.92,12.82,78.9,0.0861154379005118,E,0.000418
Clothing,0.16,0.19,2,False,Road,57,Kraft Paper Mailer,0.48,0.005,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,98.18,0.99,0.98,52.56,1.212243660975856,C,0.000972
Electronics,0.28,0.02,7,True,Air,2474,Honeycomb Paper,1.51,1.732,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,75.11,2.84,11.73,13.9,0.2905370596302591,E,9e-05
Electronics,0.23,0.02,8,True,Air,2624,Mushroom Pkg (Mycelium),1.69,1.509,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,78.49,4.17,7.78,4.15,0.6431875779964552,D,9.8e-05
Beauty,0.44,0.05,8,True,Road,471,Mushroom Pkg (Mycelium),1.78,0.104,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,97.99,8.13,0.73,4.15,13.364365254294173,A,0.00025
Clothing,1.06,1.38,4,False,Air,1360,Kraft Paper Mailer,1.35,4.692,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,55.35,7.97,23.95,31.48,0.3993319248713183,D,0.006912
Clothing,0.21,0.19,2,False,Air,1068,Kraft Paper Mailer,0.48,0.561,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.05,1.17,6.95,52.56,0.2020143594223942,E,0.00096
Electronics,1.93,0.12,8,True,Air,822,Mushroom Pkg (Mycelium),2.37,3.966,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,61.12,28.34,14.07,4.15,2.4170573975083585,B,0.000609
Electronics,22.68,9.53,10,True,Road,1241,Mushroom Pkg (Mycelium),11.07,14.073,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,54.06,90.58,16.62,3.37,6.540071808659937,A,0.047625
Furniture,16.81,6.32,10,False,Road,1190,Mushroom Pkg (Mycelium),8.72,10.002,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,58.98,85.19,14.84,2.79,6.888678781086336,A,0.03162
Electronics,22.86,8.85,10,True,Road,953,Mushroom Pkg (Mycelium),11.14,10.893,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,56.89,90.72,15.6,3.37,6.978461091124291,A,0.04425
Furniture,15.57,6.3,9,False,Road,1680,Mushroom Pkg (Mycelium),8.03,13.079,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,56.05,77.05,15.9,3.08,5.815093973893461,A,0.0315
Electronics,21.48,6.6,10,True,Road,2668,Mushroom Pkg (Mycelium),10.59,28.654,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,45.23,89.66,19.82,3.37,5.428455831056718,A,0.033
Beauty,0.45,0.05,9,True,Air,1816,Mushroom Pkg (Mycelium),1.98,2.043,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,73.69,8.43,9.52,3.72,1.062604930398642,C,0.00025
Electronics,0.19,0.01,6,True,Road,766,Honeycomb Paper,1.28,0.073,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,97.57,1.73,1.14,15.9,1.8210510341657595,B,2.5e-05
Furniture,19.57,6.55,10,False,Road,2586,Honeycomb Paper,9.83,25.304,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,42.06,53.36,27.3,10.07,2.345494419578959,B,0.03276
Electronics,15.12,9.3,9,True,Road,496,Mushroom Pkg (Mycelium),7.85,3.75,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,68.92,76.53,11.25,3.72,8.163199274382286,A,0.0465
Clothing,0.82,1.23,3,False,Road,754,Kraft Paper Mailer,1.09,0.464,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.47,6.48,6.72,39.39,1.1571426849490052,C,0.006156
Beauty,0.53,0.22,3,True,Air,1111,PLA Bioplastic,0.81,1.472,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,71.13,8.88,16.43,49.94,0.6485696501174893,D,0.00112
Electronics,17.01,5.91,9,True,Road,1093,Mushroom Pkg (Mycelium),8.6,9.296,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,59.75,78.61,14.56,3.72,6.478845708870487,A,0.029568
Electronics,22.4,6.85,9,True,Road,2419,Mushroom Pkg (Mycelium),10.76,27.093,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,45.9,82.77,19.58,3.72,5.072727013650305,A,0.034272
Furniture,16.45,5.39,9,False,Road,1779,Mushroom Pkg (Mycelium),8.38,14.632,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,54.53,78.01,16.45,3.08,5.690698742206764,A,0.026964
Electronics,0.31,0.02,8,True,Road,763,Mushroom Pkg (Mycelium),1.72,0.118,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,98.12,5.74,0.68,4.15,10.129396868534014,A,0.000112
Clothing,1.68,3.42,3,True,Air,1649,Kraft Paper Mailer,1.97,14.099,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,33.84,10.34,35.49,39.39,0.3496196013068582,E,0.0171
Beauty,0.45,0.03,8,True,Air,2622,Mushroom Pkg (Mycelium),1.78,2.95,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,67.66,8.33,11.7,4.15,0.8543589013368461,C,0.00016
Electronics,17.01,6.42,10,True,Road,2241,Mushroom Pkg (Mycelium),8.8,19.06,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,51.09,85.42,17.7,3.37,5.7911861134923095,A,0.03212
Furniture,53.26,289.53,7,False,Road,2385,Wood Crate,117.21,345.265,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,7.7,41.2,45.25,10.05,1.0925966609370903,C,1.447628
Furniture,18.65,5.26,9,False,Road,1081,Mushroom Pkg (Mycelium),9.26,10.08,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,58.52,80.06,15.01,3.08,6.400532551596766,A,0.026288
Home Decor,2.08,1.25,9,False,Road,614,Mushroom Pkg (Mycelium),2.63,0.639,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,89.61,31.02,3.76,3.08,9.899997367021976,A,0.00624
Electronics,0.18,0.0,5,True,Air,2751,Honeycomb Paper,1.07,1.238,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,80.2,1.6,9.33,18.57,0.2057877592939165,E,2e-05
Electronics,1.7,0.12,8,True,Air,1363,Mushroom Pkg (Mycelium),2.28,5.793,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,54.26,25.89,16.55,4.15,1.87722043037943,B,0.000609
Electronics,0.12,0.0,6,True,Air,2657,Honeycomb Paper,1.25,0.797,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,85.62,0.88,6.77,15.9,0.1559822517012922,E,0.0
Electronics,19.1,8.05,10,True,Road,1171,Mushroom Pkg (Mycelium),9.64,11.183,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,57.28,87.57,15.46,3.37,6.797153506005595,A,0.04025
Furniture,14.26,38.49,4,False,Road,2233,Wood Crate,16.2,42.974,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,39.53,22.34,29.65,16.15,0.9041483674823484,C,0.192465
Electronics,1.73,0.22,8,True,Air,2117,Mushroom Pkg (Mycelium),2.29,9.156,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,45.07,26.24,19.88,4.15,1.5839033408499323,B,0.00108
Electronics,19.8,6.99,10,True,Road,934,Mushroom Pkg (Mycelium),9.92,9.247,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,59.22,88.22,14.76,3.37,7.172357237645174,A,0.034932
Electronics,0.28,0.0,8,True,Air,1304,Mushroom Pkg (Mycelium),1.71,0.913,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,84.68,5.15,5.54,4.15,1.1155232643459811,C,0.0
Clothing,0.28,0.11,2,False,Air,2758,Kraft Paper Mailer,0.51,1.931,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,72.98,1.64,14.5,52.56,0.1357241285707497,E,0.000546
Furniture,16.73,5.72,9,False,Road,743,Mushroom Pkg (Mycelium),8.49,6.215,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,63.96,78.31,13.04,3.08,7.206441165150219,A,0.0286
Electronics,0.3,0.0,9,True,Air,1830,Mushroom Pkg (Mycelium),1.92,1.373,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,79.66,5.58,7.36,3.72,0.9097824850839014,C,0.0
Home Decor,2.37,1.34,10,False,Road,316,Mushroom Pkg (Mycelium),2.95,0.374,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,91.37,35.1,3.12,2.79,13.499995673078308,A,0.00672
Furniture,18.22,5.12,9,False,Road,1639,Mushroom Pkg (Mycelium),9.09,14.931,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,54.02,79.67,16.64,3.08,5.745432347029306,A,0.0256
Beauty,0.21,0.05,9,True,Road,294,Corrugated Cardboard,1.88,0.031,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,97.3,0.76,1.39,1.93,0.6561146358887513,D,0.00025
Beauty,0.33,0.04,10,True,Air,1481,Mushroom Pkg (Mycelium),2.13,1.222,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,81.13,6.22,6.83,3.37,1.0928256086638932,C,0.0002
Furniture,46.5,244.78,6,False,Road,204,Wood Crate,99.11,24.968,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,42.66,35.21,28.11,11.5,1.5030949305195682,B,1.223904
Furniture,13.19,4.02,10,False,Road,2488,Mushroom Pkg (Mycelium),7.28,16.408,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,53.55,80.02,16.81,2.79,5.7123137589343385,A,0.020088
Clothing,1.66,4.04,3,True,Road,672,Kraft Paper Mailer,2.22,1.357,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,78.54,10.87,11.51,39.39,1.13327531422456,C,0.02021
Beauty,0.38,0.04,10,True,Road,148,Mushroom Pkg (Mycelium),2.15,0.028,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,99.2,7.19,0.29,3.37,29.751621546132608,A,0.00018
Clothing,0.17,0.17,1,False,Air,2708,Kraft Paper Mailer,0.27,1.151,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,80.68,0.65,10.36,78.9,0.0752895680222424,E,0.000836
Clothing,1.08,1.56,3,False,Air,1332,Kraft Paper Mailer,1.22,5.195,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,53.59,7.43,24.9,39.39,0.3580722747762138,E,0.007812
Clothing,1.0,1.28,3,False,Air,1717,Kraft Paper Mailer,1.11,5.494,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,52.9,6.64,25.27,39.39,0.3153145898173886,E,0.006384
